Id,Category,Topic,Source,Headline,Text,Link
1,Fake,Education,El Ruinaversal,MAESTRA DE *NUMBER* AÑOS QUE TUVO RELACIONES CON UN ALUMNO DE *NUMBER* DARÁ EDUCACIÓN SEXUAL EN EL CONALEP,"MAESTRA DE *NUMBER* AÑOS QUE TUVO RELACIONES CON UN ALUMNO DE *NUMBER* DARÁ EDUCACIÓN SEXUAL EN EL CONALEP
Estados Unidos.- Luego de que se revelará el caso de una maestra estadounidense de *NUMBER* años de nombre Alexandria Vera que fue acusada de abusar de uno de sus alumno de *NUMBER* años (con quien tuvo un noviazgo e incluso quedó embarazada), el juez que analizó la situación finalmente determinó que la profesora no será encarcelada pero si deberá pagar una multa de USD*NUMBER* mil dólares, alejarse del adolescente para siempre, y dar un servicio comunitario de *NUMBER* horas como profesora en un CONALEP de la Ciudad de México.
El juez señala que el chico involucrado confesó que ""tuvo relaciones con su consentimiento"" y además sus papás aprobaban el noviazgo:
""Es un caso que llamó la atención de los medios internacionales porque ella tiene *NUMBER* y es muy atractiva, y él es un joven de apenas *NUMBER* años.
Como el juez que iba a determinar el castigo sentía la presión de muchas personas que querían que metiera a la cárcel a la maestra, sin embargo tuve que ser objetivo: fue el propio joven y sus padres quienes me pidieron que la dejara en libertad.
Además la verdad recordé que en mi etapa de secundaria yo y todos mis compañeros fantaseábamos con nuestras maestras (risas), así que pensé, ¿por qué ser tan severo si todos alguna vez tuvimos esa fantasía de chicos?.
Decidí que Alexandria no pisará la cárcel pero como castigo tendrá que ir a un CONALEP a dar clases. Todos sabemos la fama que tiene los del CONA, así que será un reto muy fuerte para ella contenerse porque si vuelve a cometer el mismo delito esta vez no se salvará de pisar la cárcel"", confesó.
El magistrado señala que tomó la decisión de mandarla a la prepa mexicana para ponerle una ""prueba de fuego"":
""La profesora dejó en claro que le gustan chavitos y en el CONA los chicos estarán más que dispuestos a darle entrada porque ella es muy guapa.
Creo que es una prueba fuerte pero sensata para demostrar que efectivamente cambió y también ya está advertida; si ella vuelve a hacer lo mismo que con su anterior alumno esta vez no se salvará de pisar la cárcel.
Además, independientemente de la situación por la que fue enviada (abuso de menores), el CONA es un lugar en donde debe cuidarse y estar siempre alerta porque el ambiente en cuestión de seguridad está muy pesado. Será como si la mandáramos a una cárcel de un país centroamericano, solo que será temporal y no estará encerrada para siempre"", puntualizó.",http://www.elruinaversal.com/2017/06/04/maestra-de-24-anos-que-tuvo-relaciones-con-un-alumno-de-13-dara-educacion-sexual-en-el-conalep/
2,True,Education,Heraldo,Oxford lanza sus propios exámenes de certificación de nivel de inglés,"Oxford lanza sus propios exámenes de certificación de nivel de inglés
Los exámenes de esta universidad, que competirá con Cambridge, serán *NUMBER*% on-line y se realizarán en los más de *NUMBER* centros autorizados de toda España.
La Universidad de Oxford lanza en España su nuevo examen de certificación de nivel de inglés. Se denominará Oxford Test of English (OTE), será *NUMBER*% on-line y se hará en alguno de los más de *NUMBER* centros autorizados por la institución académica en todo el país. Respecto a otros exámenes, la principal novedad es que su duración será de apenas dos horas -en las que se medirán las habilidades en el 'reading', el 'writing', el 'listening' y el 'speaking'- y que estará disponible los *NUMBER* días del año. En una primera etapa, los alumnos podrán certificar sus niveles A2, B1 y B2, aunque la universidad estudia ampliarlo a C en el futuro. No habrá aprobados o suspensos: simplemente, se certificará el nivel.
De esta manera, Oxford entra en un campo al que había permanecido ajeno hasta ahora y que dominaba su gran rival, la Universidad de Cambridge. Hasta el momento, la Universidad de Oxford ofrecía material para preparar otros exámenes, pero no había dado el paso de ofrecer su propia evaluación. Para estrenar este sistema en todo el mundo elige España, un país donde operan desde hace *NUMBER* años y que consideran su mercado más importante en el mundo.
La marca 'Universidad de Oxford' es el principal aval con el que cuenta el OTE. ""Estoy orgulloso de decir que la universidad confía tanto en la calidad y efectividad del Oxford Test of English que están dispuestos a certificar el examen, lo que a efectos prácticos significa que la Universidad de Oxford garantiza los resultados"", ha señalado Peter Marshall, 'managing director' de la división de English Language Teaching de Oxford University Press, la editorial de la universidad.
No existe un precio fijo para que cada alumno haga el examen. ""Oxford marca unos niveles que están por debajo de los precios actuales, pero será cada centro acreditado el que lo fije aplicando los márgenes que considere"", afirman fuentes de la universidad. Todas las pruebas serán diferentes entre sí. Primero, el estudiante empezará respondiendo unas preguntas determinadas y un algoritmo determinará las siguientes cuestiones adaptándose al nivel que el alumno ha mostrado.",https://www.heraldo.es/noticias/sociedad/2017/04/05/oxford-lanza-sus-propios-examenes-certificacion-nivel-ingles-1168591-310.html
3,True,Education,abc,La RAE estudia incluir «machirulo» en el Diccionario,"La RAE estudia incluir «machirulo» en el Diccionario
La académica Soledad Puértolas ha confirmado que la Comisión de Neologismos ha propuesto la palabra
La propuesta llegó hace algo más de un mes, pero parece que va por buen camino. La Comisión de Neologismos de la Real Academia Española (RAE) está estudiando la introducción de la palabra «machirulo» en el Diccionario. Así lo ha confirmado esta mañana la académica y escritora Soledad Puértolas en la sede de la institución en Madrid.
«Es una palabra que tiene una carga irónica que creo que es adecuada para una actitud de igualdad entre hombres y mujeres. Viene a sustituir a la idea de macho alfa, que es muy poderosa. ""Machirulo"" me parece que es una versión más irónica, más familiar, de la desigualdad entre hombres y mujeres», ha explicado Puértolas.
«El ""machirulo"", creo, es un semichulo, un hombre que, pese a querer ser dominante, no acaba de serlo. El término está impregnado de cierto tono irónico, pero no del todo despreciativo. Es una nueva versión del macho prototítico», ha precisado.
Aunque la palabra tiene que pasar varios filtros más (las cosas del Diccionario van despacio) la académica ha dicho que «es optimista y que espera que entre en el Diccionario». «Soy muy optimista con las palabras que vienen del español y que se utilizan», ha añadido.
La académica ha participado hoy en un acto conjunto entre la RAE y la Academia de la Publicidad: un debate sobre los anglicismos y su uso en los mensajes publicitarios. Durante su intervención, Puértolas ha destacado el valor de los neologismos que vienen del español frente a los que vienen del inglés.
«Si no tenemos un nombre, lo tenemos que importar. Pero quisiera resaltar que los hallazgos, las innovaciones que experimenta la lengua propia, nos proporcionan una satisfacción especial. Tocan una fibra a la que las palabras importadas no llegan», afirmó en su alocución. «Mejor en español, sí», remató, haciendo referencia así al lema del debate.
Luego, recorrió alguno de esos nuevos términos a los que se refería, como «abrazapandas» (gesto de amistad interesada), «machirulo» o «aprovechategui» (término desempolvado por el anterior presidente del Gobierno, Mariano Rajoy).",https://www.abc.es/cultura/abci-estudia-incluir-machirulo-diccionario-201806261351_noticia.html
4,True,Education,El país,Malala Yousafzai anuncia que estudiará en Oxford,"Malala Yousafzai anuncia que estudiará en Oxford
La nobel de la Paz pakistaní logra una plaza para el grado de filosofía, política y economía
Malala recibe el resultado de su exámen en la escuela Edgbaston, este jueves en Birmingham.
Malala Yousafzai, la nobel de la Paz pakistaní que sobrevivió a un atentado por defender la educación de las niñas en su país, ha anunciado este jueves que cursará sus estudios superiores en la Universidad británica de Oxford. ""¡Estoy tan contenta de ir a Oxford!"", ha escrito en Twitter la joven de *NUMBER* años, junto a una fotografía del mensaje de la universidad confirmando su admisión en el grado de filosofía, política y economía.
Este jueves, los estudiantes de Reino Unido han recibido las notas del gran examen que realizan al final de la educación secundaria y que determina a qué universidades asistirán. Malala, que empezó a utilizar Twitter el día de su graduación de la escuela, el *NUMBER* de julio pasado, no ha revelado sus notas, pero ha felicitado a todos los que lograron una plaza para la universidad.
La joven activista tenía *NUMBER* años cuando un talibán le disparó en la cabeza en el autobús que la llevaba a la escuela en el valle de Swat, en Pakistán. Fue trasladada a un hospital de la ciudad inglesa de Birmingham, y se quedó a vivir ahí con su familia, siguiendo con sus estudios y su activismo. En *NUMBER*, cuando tenía *NUMBER* años, fue galardonada con el premio Nobel de la Paz junto al indio Kailash Satyarthi, por su defensa de los derechos de los niños.",https://elpais.com/internacional/2017/08/17/actualidad/1502965593_437389.html
5,Fake,Education,El Ruinaversal,Nombran a Ricardo Arjona nuevo miembro de la Real Academia Española,"Nombran a Ricardo Arjona nuevo miembro de la Real Academia Española
España.- Darío Villanueva, director de la Real Academia Española (RAE), citó a los medios internacionales a una conferencia para anunciar que el compositor guatemalteco Ricardo Arjona fue nombrado nuevo miembro de la institución cultural.
Villanueva señaló que Arjona se incorporará de manera oficial a la RAE a partir del próximo mes y tendrá la facultad de implementar nuevas reglas gramaticales, eliminar las que no le parezcan y modificar los vocablos del idioma español para enriquecer este lenguaje.
Villanueva señala que Ricardo envió su solicitud para convertirse en miembro de la RAE ya que -según su expediente- ""es un ferviente apasionado del idioma español y del poder que tienen los vocablos para incubar emociones"":
""El señor Arjona nos envió su solicitud y algunas muestras de sus composiciones. Nos interesó mucho la manera tan abstracta en que Ricardo escribe sus melodías: utiliza metáforas muy difíciles de entender para las personas ordinarias, se necesita de una gran capacidad intelectual y de un vasto conocimiento de las reglas gramaticales para comprender los significados conceptuales que Arjona le imprime a sus letras"", comentó.
El director menciona que -tras pasar varias pruebas- Ricardo escribió un ensayo sobre el porque ""Jesús es verbo y no sustantivo"" como trabajo final para intentar ser aceptado en la RAE, escrito que impactó a los miembros y los convenció de convertir a Arjona en uno de sus integrantes:
""Ricardo escribió un texto muy profundo y completo sobre el porque Jesús es verbo y no sustantivo, el refutó todas las teorías que respaldaba la regla gramatical de que un sustantivo no puede ser verbo y viceversa. Arjona realizó un análisis intensivo en el que nos demostró que un verbo puede ser al mismo tiempo un sustantivo o puede transformarse en uno si lo desea"", señaló.
Villanueva mencionó que la primera aportación de Arjona a la RAE será precisamente la revocación de la regla que especifica que los sustantivos y verbos no son lo mismo:
""Esta modificación será la primera de una serie de transformaciones que el idioma español experimentará gracias a Arjona. A partir de ahora, Jesús y otros nombres propios serán considerados verbos y podrán conjugarse dependiendo de los tiempos. Ricardo ya está realizando otras alteraciones a las reglas, como eliminar las palabras que categoricen el significado del tiempo y el espacio ya que para él estos elementos no existen"", señaló.
El director mencionó que utilizarán algunas canciones de Arjona para crear algunas nuevas normas lingüísticas: ""estamos inspirándonos en sus melodías para modificar y crear algunas nuevas reglas. Definitivamente el idioma español sufrirá una importante transformación y se convertirá en el idioma más excelso y perfecto del mundo gracias a Arjona y su poesía urbana"", puntualizó.",http://www.elruinaversal.com/2017/06/25/nombran-a-ricardo-arjona-nuevo-miembro-de-la-real-academia-espanola/
6,True,Education,EL UNIVERSAL,Realizan paro en Facultad de Ciencias Políticas y Sociales de la UNAM,"Realizan paro en Facultad de Ciencias Políticas y Sociales de la UNAM
Los estudiantes protestan contra los feminicidios y actos de acoso sexual que se reportan en esa casa de estudios
Realizan paro en Facultad de Ciencias Políticas y Sociales de la UNAM
Estudiantes de la Facultad de Ciencias Políticas y Sociales (FCPyS) de la Universidad Nacional Autónoma de México (UNAM) tomaron las instalaciones para realizar un paro de *NUMBER* horas como protesta contra los feminicidios y actos de acoso sexual que se reportan en esa casa de estudios y en el país.
 Desde las primeras horas de este viernes, mujeres de esa facultad tomaron control de las puertas del plantel para evitar que trabajadores, académicos y estudiantes pudieran ingresar.
 En un comunicado, las universitarias señalan que tras el paro que ayer jueves realizaron mujeres de la Facultad de Filosofía y Letras, ellas también pararían las actividades de la FCPS porque argumentaron que la Universidad Nacional es ""cuna de machos acosadores y violadores"" y en protesta por los *NUMBER* asesinatos de mujeres que todos días se registran en el país.
 Recordaron el caso de Lesvy Berlín Osorio, joven que apareció muerta en mayo de *NUMBER* a un costado del Instituto de Ingeniería de Ciudad Universitaria y donde se ha acusado a su novio de haberla asesinado.
 ""Por eso hoy alzamos la voz, porque nos rehusamos a temer, nos rehusamos a obligarnos a nosotras mismas a superar algo que nunca nos debió haber sucedido. Porque no somos responsables de las violaciones que nos infringen ni de la normalización del suso de nuestros cuerpos como territorios para ejercer su poder. No aceptaremos más reglas sobre nuestros cueros, no nos volveremos a doblegar antes sus protocolos que nos victimizan a nosotras mientras los protegen a ellos"", indican.
 Las universitarias llamaron a la comunidad a denunciar a todas aquellas personan que acosan y aseguraron que las manifestaciones de este tipo continuarán, ""hasta que dejen de perderse nuestras carpetas de investigación, hasta que dejen de acosarnos por alzar nuestras voces"". El pasado lunes *NUMBER* de marzo, tras la toma de instalaciones de la Escuela Nacional Preparatoria *NUMBER* por estudiantes que denunciaban a un profesor por acoso sexual en contra de las alumnas, las autoridades del plantel anunciaron el despido de dicho académico.",http://www.eluniversal.com.mx/nacion/sociedad/realizan-paro-en-facultad-de-ciencias-politicas-y-sociales-de-la-unam
7,Fake,Education,Hay noticia,Deniegan el B1 a un joven mudo por no poder aprobar el examen oral,"Deniegan el B1 a un joven mudo por no poder aprobar el examen oral
Como todo el mundo sabe la importancia del inglés es cada vez más importante dentro de nuestro ámbito laboral, por eso son cientos los jóvenes que tratan de certificarse para acreditar sus conocimientos, por desgracia para un joven mudo le ha sido denegado su título tras no poder realizar por razones obvias el examen oral.
Jacinto R. es un madrileño de *NUMBER* años, sufrió una lesión en las cuerdas vocales tras ingerir un producto químico cuando era pequeño y desde entonces perdió la capacidad física de hablar ""me expreso perfectamente por escrito y por signos, nunca he tenido problemas al respecto, hasta este maldito día"". El joven, en paro desde que terminó la carrera, decidió sacarse el B1 de Inglés ya que es un idioma que domina perfectamente por escrito.
El problema llegó a la hora del examen oral, él acreditó su minusvalía y alegó que el lenguaje de signos es internacional, pero por parte de la organización de Cambridge se niegan en rotundo a aprobar su examen al no cumplir el requisito del examen oral. El caso llegará a los tribunales tras su denuncia ""no hay derecho, se van a cagar estos ingleses"" comenta furioso Jacinto.",https://haynoticia.es/deniegan-b1-joven-mudo-no-poder-aprobar-examen-oral3333/
8,Fake,Society,El Dizque,Jorge Vergara recapacita y ofrece precios más económicos para ver el clásico en Chivas.TV,"Jorge Vergara recapacita y ofrece precios más económicos para ver el clásico en Chivas.TV
El señor Jorge Vergara, dueño del Club Guadalajara, dio a conocer los precios para los paquetes de Chivas.TV, con los que se podrán disfrutar los juegos de los Birrieros de Zapopan.
El que se necesiten desembolsar *NUMBER* pesos por ver el llamado Clásico de Clásicos ante el América, ha causado controversia en redes sociales, en especial porque los rojiblancos siempre han sido considerados el equipo del pueblo. Las muestras de rechazo no se han dejado esperar.
Ante esto, Jorge Vergara ha cambiado de parecer.
""Nosotros siempre hemos vivido por y para la afición"", señaló Vergara. ""Y sabemos que muchos que quieren seguir nuestros juegos pueden no tener los recursos económicos para comprar el Clásico de Clásicos por *NUMBER* pesos"".
Vergara dio a conocer una escaleta de precios con los que, asegura, nadie se quedará sin disfrutar del esperado juego:
""El paquete Premium permitirá ver el clásico por los *NUMBER* pesos en HD y con lo mejor que podemos ofrecer. Las opciones para los que menos tienen, son: Blanco y negro, *NUMBER* pesos; blanco y negro sin sonido; *NUMBER* pesos; verlo sólo con la toma aérea, *NUMBER* pesos; verlo con cámara fija que cubra media cancha, *NUMBER* pesos. La más económica, *NUMBER* pesos por el resumen"".
Asimismo, reveló, el suscriptor número *NUMBER* podrá ganar la oportunidad de ser jugador por un día, técnico por una temporada o dueño por un año.
El señor Vergara espera que esto sea todo un exitazo.",https://www.eldizque.com/jorge-vergara-recapacita-y-ofrece-precios-mas-economicos-para-ver-el-clasico-en-chivas-tv/
9,True,Society,El Financiero,Facebook retira miles de páginas en América Latina por violación de normas,"Facebook retira miles de páginas en América Latina por violación de normas
La red social retiró unas *NUMBER* mil páginas, grupos y cuentas en América Latina, incluido México, debido a que violaron las normas comunitarias.
La red social Facebook informó este martes que retiró unas *NUMBER* mil páginas, grupos y cuentas en México y otros países de América Latina por publicaciones que violaron normas comunitarias.
""El contenido removido infringía nuestras políticas sobre daño coordinado y contenido no auténtico, además de ataques basados en raza, género u orientación sexual"", dijo la compañía en un comunicado firmado por Nathaniel Gleicher, jefe de ciberseguridad de la compañía.
La empresa dijo que en el primer trimestre del año eliminó *NUMBER* millones de publicaciones que incitan al odio y *NUMBER* millones de cuentas falsas en el mundo, usando aprendizaje de las máquinas e inteligencia artificial.
""Este tipo de acciones son especialmente importante antes de las elecciones, cuando las personas usan Facebook para conectar con candidatos, debatir asuntos relevantes e informarse antes de votar"", añadió el comunicado",http://www.elfinanciero.com.mx/tech/facebook-retira-miles-de-paginas-en-america-latina-por-violacion-de-normas
10,True,Society,El Financiero,El pozole de estas fiestas patrias te saldrá *NUMBER*% más caro,"El pozole de estas fiestas patrias te saldrá *NUMBER*% más caro
De acuerdo con cifras del Inegi, en el último año los precios de los ingredientes para cocinar el platillo típico mexicano se incrementaron sobre todo en el caso del jitomate, cuyo costo subió *NUMBER* por ciento en dicho periodo.
Cocinar pozole durante estas fiestas patrias, será más caro que el año pasado. La subida en los precios algunas verduras y de la carne de cerdo, han elevado el precio de la receta de este típico platillo mexicano. En promedio, el precio de los ingredientes del pozole ha aumentado *NUMBER* por ciento en el último año.
De acuerdo con datos del Instituto Nacional de Estadística y Geografía (Inegi), el incremento más importante entre los ingredientes del pozole es el que ha observado el precio del jitomate.
En agosto de este año el kilo de jitomate tuvo un precio promedio de *NUMBER* pesos en la Ciudad de México y el área metropolitana, frente a un precio de *NUMBER* pesos por kilo en agosto del año pasado. Esto representa un aumento de *NUMBER* por ciento en el precio de este producto.
De igual forma, el kilo de cebolla observó un alza de poco más de *NUMBER* por ciento. Hace un año, el kilo de cebolla rondaba los *NUMBER* pesos, pero este año el precio se elevó a *NUMBER* pesos. Además, la lechuga romana reportó un aumento de *NUMBER* por ciento en el último año, al pasar de un precio de *NUMBER* pesos a *NUMBER* pesos por pieza.
Por su parte, el maíz pozolero registró un alza de *NUMBER* por ciento, ya que actualmente el precio promedio del kilo de este ingrediente es de *NUMBER* pesos, frente a *NUMBER* pesos en agosto del año pasado.
La crema ácida reveló un incremento de poco más de *NUMBER* por ciento entre un año y otro, al pasar de *NUMBER* pesos por un envase de *NUMBER* mililitros, a *NUMBER* pesos en este año.
Sólo el precio del chile guajillo registró un descenso de casi *NUMBER* por ciento, hasta *NUMBER* pesos por kilogramo. Sin embargo, esto no fue suficiente para compensar las subidas de otros ingredientes como la carne de cerdo, cuyo precio subió *NUMBER* por ciento o la sal, con un alza de *NUMBER* por ciento, así como las tostadas, que subieron *NUMBER* por ciento.",http://www.elfinanciero.com.mx/economia/el-pozole-de-estas-fiestas-patrias-te-saldra-22-mas-caro
